latitude;longitude;altitude(m)
-22.758343;-48.549361;10
-22.763115;-48.546280;10
-22.763114;-48.546082;10
-22.763114;-48.546082;10
-22.762834;-48.546353;10
-22.760812;-48.547658;10
-22.763110;-48.545432;10
-22.763106;-48.544782;10
-22.758790;-48.548963;10
-22.758100;-48.548979;10
-22.763101;-48.544132;10
-22.763097;-48.543482;10
-22.757487;-48.548918;10
-22.756875;-48.548858;10
-22.763093;-48.542832;10
-22.763089;-48.542183;10
-22.756262;-48.548798;10
-22.755649;-48.548737;10
-22.763084;-48.541533;10
-22.763080;-48.540883;10
-22.755037;-48.548677;10
-22.754424;-48.548617;10
-22.763076;-48.540233;10
-22.763072;-48.539583;10
-22.754100;-48.548277;10
-22.753793;-48.547920;10
-22.763068;-48.538933;10
-22.763063;-48.538284;10
-22.753487;-48.547563;10
-22.753180;-48.547207;10
-22.763059;-48.537634;10
-22.763055;-48.536984;10
-22.752873;-48.546850;10
-22.752567;-48.546493;10
-22.763051;-48.536334;10
-22.763046;-48.535684;10
-22.752260;-48.546136;10
-22.751953;-48.545780;10
-22.763042;-48.535034;10
-22.763038;-48.534385;10
-22.751311;-48.545748;10
-22.754054;-48.548938;10
-22.758343;-48.549361;10
